rank,player_name,team,position_group,primary_position,minutes,vaep_raw,vaep_adj,vaep_raw_p90,vaep_adj_p90,vaep_adj_p90_shrunk,off_raw,def_raw
1,Ivan Schranz,Slovakia,FWD,Right Wing,349,3.2036414448682304,3.12590846446636,0.8261539542640136,0.8061082000056515,0.5030286484406868,2.718812216539561,0.4848292283286692
2,Florian Wirtz,Germany,FWD,Left Wing,303,2.5245045377120494,2.6308155209557587,0.749852832983777,0.7814303527591362,0.4656481125110489,2.239723349805953,0.2847811879060965
3,Merih Demiral,Turkey,DEF,Left Center Back,236,1.9360343702209255,2.1368254423672948,0.7383181920334038,0.8148910585299005,0.4304713918591626,2.144402480319094,-0.2083681100981688
4,Donyell Malen,Netherlands,FWD,Right Wing,204,2.1024634180023134,1.8433022254580333,0.9275573902951382,0.8132215700550147,0.4133758900296113,1.9907176760619485,0.11174574194036478
5,Francisco Fernandes Conceição,Portugal,MID,Right Attacking Midfield,201,1.7926624546392316,1.5929419387276555,0.8026846811817455,0.7132575845049204,0.36221364868299527,1.8193942745973082,-0.026731819958076743
6,Randal Kolo Muani,France,FWD,Right Center Forward,219,1.1339386205387088,1.606091322212723,0.46600217282412687,0.6600375296764616,0.35703719955410596,0.9793649528840502,0.15457366765465858
7,Breel-Donald Embolo,Switzerland,FWD,Center Forward,315,2.2257476513345114,1.915991091477824,0.6359279003812889,0.5474260261365211,0.3461233672065246,2.255090387987525,-0.02934273665301324
8,Jamal Musiala,Germany,FWD,Right Wing,443,3.004071629117829,2.1168800284366536,0.610308005915586,0.4300659199984172,0.3093438627519096,3.0617679110469447,-0.05769628192911574
9,Alessandro Bastoni,Italy,DEF,Right Center Back,390,1.6576593766723697,1.8923862662337743,0.3825367792320853,0.4367045229770249,0.2966954521647264,1.0039140140052953,0.6537453626670744
10,Cody Mathès Gakpo,Netherlands,FWD,Left Wing,558,2.7749369865301325,2.368825665462519,0.4475704816984085,0.3820686557197612,0.29376483269859843,2.9708258695779497,-0.195888883047817
11,Vladimír Coufal,Czech Republic,DEF,Right Wing Back,296,1.5067539538804828,1.535980499915814,0.45813464813933596,0.46702109794737584,0.28929766689064135,1.0897882668091403,0.4169656870713426
12,Daniel Olmo Carvajal,Spain,MID,Center Attacking Midfield,461,1.3688492193603718,2.0242857897343387,0.267237374712437,0.3951967919221052,0.28648915885128906,1.4512449099211697,-0.08239569056079767
13,Lamine Yamal Nasraoui Ebana,Spain,FWD,Right Wing,526,2.4859643945506895,2.1604088484019357,0.42535512454289365,0.3696517040991905,0.2820097587173203,2.2700913372527842,0.2158730572979056
14,Lukáš Provod,Czech Republic,MID,Left Defensive Midfield,241,1.146055670464605,1.2863238737671054,0.42798759477931303,0.48036991136530904,0.27985714810810425,1.1652309202982907,-0.019175249833685563
15,Samet Akaydin,Turkey,DEF,Right Center Back,355,1.5105893293654873,1.6418388066583185,0.38296630885322214,0.41624082422323566,0.2772315633070854,1.2960128128098953,0.2145765165555919
16,Mykola Shaparenko,Ukraine,MID,Right Defensive Midfield,227,1.2848506720423518,1.2209040245361,0.5094121607216373,0.48405886435351986,0.27589379527656094,1.2343710121574623,0.050479659884889436
17,Erik Janža,Slovenia,DEF,Left Back,281,1.5052258118224926,1.3139632491155737,0.48210079382215065,0.4208423217807888,0.2609091232088592,1.4901536668758681,0.015072144946624464
18,Kristjan Asllani,Albania,MID,Left Defensive Midfield,291,0.8583977316814222,1.304902495900577,0.26548383454064606,0.4035780915156424,0.2578949709006305,1.0443544420776614,-0.18595671039623898
19,Maximilian Mittelstädt,Germany,DEF,Left Back,327,1.456841101149886,1.416376466414276,0.40096544068345485,0.3898283852516356,0.2562447511640948,1.3531824958144751,0.10365860533541085
20,Ruben Vargas,Switzerland,MID,Left Attacking Midfield,317,1.4620664409326118,1.3651211155459444,0.41509772770957437,0.3875738182938013,0.25570486276548005,1.3018077963977737,0.16025864453483826
21,Khvicha Kvaratskhelia,Georgia,FWD,Left Center Forward,361,1.2121210778024492,1.3687557805749162,0.3021908504216632,0.3412410533289265,0.24283833888202094,1.1785767114114476,0.03354436639100158
22,Tomáš Souček,Czech Republic,MID,Right Defensive Midfield,296,1.1598916546131135,1.223245861230097,0.3526697598485818,0.3719328632118538,0.24263247624542494,1.3393588056916803,-0.17946715107856664
23,Nicolò Barella,Italy,MID,Left Center Midfield,357,1.5925498203686883,1.3415839843434778,0.4014831479921063,0.3382144498344902,0.23601341728088482,1.4513597954882838,0.14119002488040444
24,Xavi Simons,Netherlands,MID,Center Attacking Midfield,480,1.5602846783350943,1.6601070673614338,0.2925533771878302,0.31127007513026883,0.23552998680897444,1.3174470736400006,0.24283760469509377
25,Fabián Ruiz Peña,Spain,MID,Left Defensive Midfield,574,2.2922234032868793,1.8993590415613537,0.35940785068958037,0.29780890895561296,0.23481062533735025,2.7501203041433837,-0.4578969008565046
26,Mikel Oyarzabal Ugarte,Spain,FWD,Left Wing,234,0.9011815738776733,0.9668452002676742,0.34660829764525897,0.37186353856449006,0.23225999922004648,0.8744880233817474,0.026693550495925915
27,Scott McTominay,Scotland,MID,Left Attacking Midfield,295,0.9060925018149824,1.1394573973949813,0.27643500055372344,0.3476310703916892,0.22971507930929222,0.7768989710384586,0.1291935307765237
28,Rafael Alexandre Conceição Leão,Portugal,FWD,Left Wing,293,1.320247332535327,1.0999399267576075,0.40553672330436663,0.33786550651257574,0.22919638541917842,0.1624358593791147,1.1578114731562124
29,Morten Hjulmand,Denmark,MID,Right Defensive Midfield,248,0.9384123052445345,1.0026441590438622,0.3405528527097101,0.36386279965301455,0.22678731343272085,0.8640778293662298,0.0743344758783047
30,Stefan de Vrij,Netherlands,DEF,Right Center Back,584,1.766692789644519,1.8595183840692748,0.2722642997739841,0.2865696139832786,0.2258324227563401,1.805209736130778,-0.038516946486259106
31,Heorhii Tsitaishvili,Georgia,DEF,Left Wing Back,203,0.913014869174672,0.8946831578662928,0.4047849173680812,0.3966575576747111,0.2241558534368839,0.6580821031947851,0.2549327659798869
32,Barnabás Varga,Hungary,FWD,Center Forward,261,0.7487125951582779,0.9749041390145468,0.2581767569511303,0.3361738410394989,0.22181609057273438,0.7057485114817363,0.042964083676541635
33,Nicholas Williams Arthuer,Spain,FWD,Left Wing,514,1.7581328844327004,1.591023977753643,0.30784427937537556,0.2785839649763188,0.220963175485511,2.7636964661117642,-1.005563581679064
34,Michel Aebischer,Switzerland,DEF,Left Wing Back,504,1.7207521007148736,1.526252287960233,0.30727716084194173,0.2725450514214702,0.21042240359702935,1.7354992614180853,-0.014747160703211517
35,Jules Koundé,France,DEF,Right Back,607,1.512886751755081,1.7365988334057598,0.22431599284671713,0.25748582373396767,0.20729547260455883,1.1240960705077712,0.3887906812473097
36,Ondrej Duda,Slovakia,MID,Left Center Midfield,333,1.241036942085191,1.0759736025009037,0.3354153897527543,0.2908036763515956,0.20576364555436671,1.1724929760474316,0.06854396603775928
37,Joshua Kimmich,Germany,DEF,Right Back,519,1.3807914318736532,1.4819820804205242,0.2394436009029456,0.2569911122116516,0.20137214411346882,1.0726476683155681,0.30814376355808476
38,Kobbie Mainoo,England,MID,Right Defensive Midfield,387,1.0500372138027037,1.1631977064909278,0.2441947008843497,0.2705110945327739,0.2008000724937371,0.9678646525096026,0.08217256129310119
39,Bernardo Mota Veiga de Carvalho e Silva,Portugal,FWD,Right Wing,440,1.182877121441216,1.2065953879338756,0.24195213847661234,0.24680360207738364,0.19526275562938245,1.9005704279900346,-0.7176933065488186
40,Kevin Danso,Austria,DEF,Right Center Back,232,0.761030227834934,0.7741988262837286,0.2952272435566554,0.30033575157558434,0.18960583432911413,0.5645599530459321,0.19647027478900184
41,Žan Karničnik,Slovenia,DEF,Right Back,412,1.1283802054355165,1.113914927086336,0.2464908215757196,0.2433309306741996,0.18439380924552784,1.0373206140816116,0.09105959135390487
42,Harry Kane,England,FWD,Center Forward,629,1.665449019105364,1.4897834667598364,0.2382995416843923,0.21316456599107358,0.1825622731826452,1.592496112025788,0.07295290707957593
43,Nedim Bajrami,Albania,MID,Left Midfield,257,0.8735386570036182,0.7626699458246267,0.30590847910632546,0.2670828604055113,0.181931971856581,0.827742736497178,0.04579592050644005
44,Vitor Machado Ferreira,Portugal,MID,Right Defensive Midfield,363,0.9531036060351916,0.9629718280986234,0.23630667918227893,0.23875334580957602,0.17994521101592081,0.036278171098046125,0.9168254349371456
45,Federico Dimarco,Italy,DEF,Left Back,239,0.8729937777560987,0.731704181133377,0.328742426770079,0.2755371393389286,0.1794845005298304,0.8700755187147907,0.002918259041307872
46,Oleksandr Zinchenko,Ukraine,DEF,Left Back,229,0.7733036085308745,0.7076546960284226,0.3039184487675926,0.27811756612470756,0.1787438018241238,0.6678450890309124,0.1054585194999621
47,Milos Veljkovic,Serbia,DEF,Right Center Back,288,0.8324886445845946,0.8232529894367773,0.2601527014326858,0.2572665591989929,0.17848925361467685,0.5709961634913844,0.26149248109321027
48,Andrei Florin Ratiu,Romania,DEF,Right Back,379,0.9929322901248379,0.9855786791393392,0.23578867047819368,0.2340424304024816,0.17597275129463832,0.4926960618386058,0.500236228286232
49,Giovanni Di Lorenzo,Italy,DEF,Right Back,390,0.6868744283187601,0.9811328633284483,0.15850948345817542,0.22641527615271884,0.1724336244958183,0.050498663061585576,0.6363757652571747
50,Georges Mikautadze,Georgia,FWD,Right Center Forward,366,0.8236440671286847,0.8818360582255136,0.2025354263431192,0.21684493235053612,0.1720254981495424,0.7631922288646407,0.06045183826404396
51,Stefan Posch,Austria,DEF,Right Back,390,0.9292312922445362,0.959194195131731,0.21443799051796988,0.22135250656886102,0.1694419879235387,0.5378830025673021,0.39134828967723406
52,Toni Kroos,Germany,MID,Left Defensive Midfield,506,0.7566997436981059,1.1339890953868956,0.13459086350361568,0.20169766518739252,0.16661968122296703,0.40322743623838664,0.35347230745971925
53,Guram Kashia,Georgia,DEF,Center Back,389,0.8606873508543782,0.9055100152775415,0.19913074955499754,0.20950103181228466,0.16236742919978525,0.16784784806654057,0.6928395027878377
54,Denis Mihai Drăguş,Romania,FWD,Center Forward,301,0.8323081986504739,0.6860616287626609,0.24886291654000878,0.20513470627454977,0.16075046965228063,0.8613494081879307,-0.029041209537456824
55,Răzvan Gabriel Marin,Romania,MID,Right Center Midfield,376,0.9811468570699375,0.8496146470543469,0.2348489817454638,0.2033652080715192,0.16053122643822446,1.0408852424764763,-0.05973838540653874
56,Jerdy Schouten,Netherlands,MID,Right Defensive Midfield,535,1.1985024463708276,1.1090585907362394,0.20161723396892428,0.18657060404908699,0.15782997169001656,0.22630126903560654,0.972201177335221
57,Tomáš Holeš,Czech Republic,DEF,Right Center Back,293,0.7358400478852335,0.6984429476016741,0.2260259532753277,0.21453878936570195,0.1569522198078693,0.3198853293612906,0.4159547185239429
58,Luka Modrić,Croatia,MID,Right Center Midfield,245,0.6590482031597372,0.5802705414772947,0.24209933993623,0.21316060707329193,0.15429553937312293,0.4998162873986065,0.15923191576113077
59,Marcel Sabitzer,Austria,FWD,Left Wing,390,0.7162858301202761,0.7941063908956213,0.16529673002775602,0.1832553209759126,0.15380688903548284,0.8489761368226088,-0.13269030670233253
60,Luke Shaw,England,DEF,Left Back,195,0.35604163518790577,0.5021269861241189,0.1643269085482642,0.23175091667267023,0.15203368434161382,0.19216862822584546,0.16387300696206034
61,Mateo Kovačić,Croatia,MID,Left Center Midfield,234,0.6335720018927115,0.5414965184666277,0.24368153918950441,0.20826789171793375,0.15073916806785373,0.8579216702254793,-0.22434966833276768
62,Nikola Milenković,Serbia,DEF,Center Back,288,0.6388897910195683,0.6476927405343266,0.19965305969361513,0.20240398141697705,0.15017308443686223,0.319338966997454,0.31955082402211427
63,Timothy Castagne,Belgium,DEF,Right Back,379,0.8979218989814942,0.7984294824555855,0.21322683616974797,0.1896006686569992,0.1500198580719298,0.5682698274831766,0.32965207149831766
64,Daniel Carvajal Ramos,Spain,DEF,Right Back,504,1.1999345860736315,0.9761360143116254,0.2142740332274342,0.1743100025556474,0.1464553950332378,1.005720132546836,0.19421445352679562
65,João Pedro Cavaco Cancelo,Portugal,DEF,Right Back,353,0.7556693117235606,0.7275169853536336,0.19266356389552536,0.1854859169456856,0.146036537960685,0.7227703612726133,0.03289895045094721
66,Abdülkerim Bardakcı,Turkey,DEF,Left Center Back,387,0.7392360890334726,0.7736979416850995,0.17191536954266803,0.17992975388025573,0.14480524995333136,0.3550251864439414,0.3842109025895313
67,Adrien Rabiot,France,MID,Left Center Midfield,386,0.6560409466313734,0.7434567860267192,0.15296291501767773,0.1733448464829138,0.14351976339421724,0.5241747708166058,0.13186617581476753
68,Remo Freuler,Switzerland,MID,Right Defensive Midfield,472,0.9518043929571418,0.8774708110285132,0.18148812577572618,0.16731434956052157,0.14314046770453903,0.6962752169699575,0.2555291759871842
69,Granit Xhaka,Switzerland,MID,Left Defensive Midfield,509,1.1387093857111603,0.9341616344368046,0.20134350631435055,0.16517592750356072,0.14289140069770756,0.5760141103542002,0.56269527535696
70,Mikel Merino Zazón,Spain,MID,Left Defensive Midfield,217,-0.043474932054764735,0.45907753119646877,-0.01803107781073192,0.19040081939024048,0.14076967526054202,0.9980120888742596,-1.0414870209290243
71,Andrej Kramarić,Croatia,FWD,Left Wing,246,0.5114616698628476,0.45437774673524484,0.18712012312055398,0.16623576100069934,0.1374747457150868,0.47765740266479695,0.03380426719805073
72,Ferdi Erenay Kadıoğlu,Turkey,DEF,Left Back,487,0.909405498227842,0.8583287276531197,0.16806261774231165,0.15862337882706526,0.13573820337709447,0.6035248598540551,0.3058806383737869
73,Saša Lukić,Serbia,MID,Left Wing,212,0.4249337737628519,0.42415257922887023,0.18039641338988996,0.18006477420093547,0.13570868500995872,0.2881195871043327,0.1368141866585192
74,Dan Ndoye,Switzerland,DEF,Right Wing Back,418,0.11357231353897633,0.740273063589078,0.02445336894379873,0.15938893713640434,0.13390815434694295,0.7297932256956862,-0.6162209121567097
75,Pierre-Emile Højbjerg,Denmark,MID,Left Defensive Midfield,373,0.45530536370280644,0.6442838903205735,0.10985920303821067,0.15545723895134483,0.1325402864277658,0.08837635473420823,0.36692900896859826
76,Declan Rice,England,MID,Left Defensive Midfield,733,1.003400266625537,1.1728189569958212,0.12320057843969759,0.14400232759839549,0.13239437704269758,0.5958306028052014,0.4075696638203356
77,Willi Orban,Hungary,DEF,Center Back,296,0.42452737791801776,0.5384587660918208,0.1290792703129108,0.1637205707711617,0.13068113677728552,0.09522672092113907,0.3293006569968787
78,Rúben Santos Gato Alves Dias,Portugal,DEF,Right Center Back,440,0.7712204962335522,0.7367074780987006,0.15774964695686294,0.15069016597473422,0.12930691196698985,0.48448214257949407,0.2867383536540581
79,Denis Vavro,Slovakia,DEF,Right Center Back,425,0.7713599982795063,0.710938086295968,0.16334682316507193,0.15055159474502852,0.128760665085348,0.5094738959290209,0.26188610235048543
80,Jorge Luiz Frello Filho,Italy,MID,Center Defensive Midfield,223,0.34449213448594207,0.3961010275006096,0.13903270001674792,0.1598614012334299,0.1275597292479851,0.20450648352526485,0.13998565096067717
81,Christoph Baumgartner,Austria,MID,Center Attacking Midfield,311,0.7714775087659705,0.5207478881813721,0.22325715687761205,0.15069874577595976,0.127547614424312,0.9323449380365118,-0.1608674292705412
82,Timi Elšnik,Slovenia,MID,Left Defensive Midfield,372,0.5777826584522624,0.5961717990931992,0.1397861270449022,0.1442351126838385,0.12600204978596527,0.53795338663262,0.03982927181964233
83,Hakan Çalhanoğlu,Turkey,MID,Right Defensive Midfield,373,0.7749973341698161,0.5856149521377962,0.18699667580504944,0.14130119488579534,0.12432845993250924,0.7264811237316031,0.04851621043821281
84,Bendegúz Bolla,Hungary,DEF,Right Wing Back,216,0.4092737710946988,0.3868049883519362,0.1705307379561245,0.1611687451466401,0.1241084020974362,0.32889226123093057,0.08038150986376826
85,Mert Müldür,Turkey,DEF,Right Back,365,0.6990515909591805,0.59082815069697,0.1723688854419897,0.14568365359651317,0.12390357170142842,0.96172397958431,-0.26267238862512954
86,Jude Bellingham,England,MID,Center Attacking Midfield,707,1.6993820744358474,1.037168839474409,0.21632869405831154,0.13202997956534201,0.12342174984329436,2.481848078621362,-0.7824660041855147
87,Bukayo Saka,England,FWD,Right Wing,662,0.8090379224789961,0.922385003150165,0.10999004988385143,0.12539977384216744,0.12130646122996525,1.7454432348400517,-0.9364053123610557
88,Marin Pongracic,Croatia,DEF,Left Center Back,196,0.27990462750402856,0.33606917858710594,0.12852763507838047,0.154317479963467,0.11963618141742333,0.1151515934742404,0.16475303402978814
89,Arthur Theate,Belgium,DEF,Left Back,266,0.4456328970406574,0.4289086541199877,0.1507780478708991,0.14511946943909357,0.11960077115387804,0.45925968647905624,-0.013626789438398861
90,Antonio Rüdiger,Germany,DEF,Right Center Back,519,0.6915708973083664,0.751205051992372,0.11992558912861846,0.13026677202179862,0.11801354771482031,1.0318827160531732,-0.34031181874480676
91,Nicola Zalewski,Poland,DEF,Left Wing Back,260,0.36032401235018846,0.4095214154483801,0.12472754273660369,0.1417574130398239,0.11766256954346027,0.23466586906280376,0.12565814328738467
92,Andrew Robertson,Scotland,DEF,Left Wing Back,282,0.3610326394318183,0.4323576731728269,0.11522318279738882,0.13798649143813624,0.11669642219788796,0.21883586092548787,0.14219677850633045
